Date,open,high,low,Adjusted_Close,volume
2023-04-27 00:00:00+00:00,11891.25,11891.25,11891.25,11891.25,0
2023-04-28 00:00:00+00:00,11980.25,11980.25,11980.25,11980.25,0
2023-05-01 00:00:00+00:00,11979.25,11979.25,11979.25,11979.25,0
2023-05-02 00:00:00+00:00,11851.25,11851.25,11851.25,11851.25,0
2023-05-03 00:00:00+00:00,11767.25,11767.25,11767.25,11767.25,0
2023-05-04 00:00:00+00:00,11697.25,11697.25,11697.25,11697.25,0
2023-05-05 00:00:00+00:00,11975.25,11975.25,11975.25,11975.25,0
2023-05-08 00:00:00+00:00,12009.25,12009.25,12009.25,12009.25,0
2023-05-09 00:00:00+00:00,11921.25,11921.25,11921.25,11921.25,0
2023-05-10 00:00:00+00:00,12071.25,12071.25,12071.25,12071.25,0
2023-05-11 00:00:00+00:00,12101.25,12101.25,12101.25,12101.25,0
2023-05-12 00:00:00+00:00,12058.25,12058.25,12058.25,12058.25,0
2023-05-15 00:00:00+00:00,12138.25,12138.25,12138.25,12138.25,0
2023-05-16 00:00:00+00:00,12154.25,12154.25,12154.25,12154.25,0
2023-05-17 00:00:00+00:00,12314.25,12314.25,12314.25,12314.25,0
2023-05-18 00:00:00+00:00,12584.25,12584.25,12584.25,12584.25,0
2023-05-19 00:00:00+00:00,12568.25,12568.25,12568.25,12568.25,0
2023-05-22 00:00:00+00:00,12618.25,12618.25,12618.25,12618.25,0
2023-05-23 00:00:00+00:00,12444.25,12444.25,12444.25,12444.25,0
2023-05-24 00:00:00+00:00,12366.25,12366.25,12366.25,12366.25,0
2023-05-25 00:00:00+00:00,12692.25,12692.25,12692.25,12692.25,0
2023-05-26 00:00:00+00:00,13095.25,13095.25,13095.25,13095.25,0
2023-05-29 00:00:00+00:00,13095.25,13095.25,13095.25,13095.25,0
2023-05-30 00:00:00+00:00,13161.25,13161.25,13161.25,13161.25,0
2023-05-31 00:00:00+00:00,13061.25,13061.25,13061.25,13061.25,0
2023-06-01 00:00:00+00:00,13158.75,13233.25,13158.75,13233.25,1
2023-06-02 00:00:00+00:00,13349.25,13349.25,13349.25,13349.25,0
2023-06-05 00:00:00+00:00,13363.25,13363.25,13363.25,13363.25,0
2023-06-06 00:00:00+00:00,13360.25,13360.25,13360.25,13360.25,0
2023-06-07 00:00:00+00:00,13101.25,13101.25,13101.25,13101.25,0
2023-06-08 00:00:00+00:00,13273.25,13273.25,13273.25,13273.25,0
2023-06-09 00:00:00+00:00,13327.25,13327.25,13327.25,13327.25,0
2023-06-12 00:00:00+00:00,13577.25,13577.25,13577.25,13577.25,0
2023-06-13 00:00:00+00:00,13697.25,13697.25,13697.25,13697.25,0
2023-06-14 00:00:00+00:00,13802.25,13802.25,13802.25,13802.25,0
2023-06-15 00:00:00+00:00,13977.25,13977.25,13977.25,13977.25,0
2023-06-16 00:00:00+00:00,13974.75,13974.75,13873.25,13873.25,1
2023-06-19 00:00:00+00:00,13873.25,13873.25,13873.25,13873.25,0
2023-06-20 00:00:00+00:00,13895.25,13895.25,13861.25,13861.25,1
2023-06-21 00:00:00+00:00,13666.25,13666.25,13666.25,13666.25,0
2023-06-22 00:00:00+00:00,13595.25,13837.25,13595.25,13837.25,2
2023-06-23 00:00:00+00:00,13659.25,13681.25,13659.25,13681.25,1
2023-06-26 00:00:00+00:00,13477.5,13477.5,13477.5,13477.5,0
2023-06-27 00:00:00+00:00,13709.25,13743.0,13709.25,13743.0,1
2023-06-28 00:00:00+00:00,13795.25,13803.5,13757.75,13757.75,2
2023-06-29 00:00:00+00:00,13735.75,13735.75,13735.75,13735.75,0
2023-06-30 00:00:00+00:00,13964.25,13972.25,13964.25,13972.25,2
2023-07-03 00:00:00+00:00,13969.25,14000.25,13969.25,14000.25,1
2023-07-04 00:00:00+00:00,13994.5,14000.25,13994.5,14000.25,1
2023-07-05 00:00:00+00:00,13913.25,13996.25,13913.25,13996.25,5
2023-07-06 00:00:00+00:00,13961.25,13961.25,13774.25,13873.25,6
2023-07-07 00:00:00+00:00,13816.25,13816.25,13816.25,13816.25,0
2023-07-10 00:00:00+00:00,13734.25,13822.25,13734.25,13819.25,15
2023-07-11 00:00:00+00:00,13895.25,13895.25,13889.25,13889.25,1
2023-07-12 00:00:00+00:00,14095.25,14095.25,14076.25,14076.25,1
2023-07-13 00:00:00+00:00,14208.5,14353.0,14208.5,14341.75,4
2023-07-14 00:00:00+00:00,14351.25,14460.25,14329.25,14329.25,8
2023-07-17 00:00:00+00:00,14407.0,14475.25,14407.0,14475.25,1
2023-07-18 00:00:00+00:00,14460.25,14610.25,14371.75,14610.25,9
2023-07-19 00:00:00+00:00,14619.25,14650.75,14594.25,14594.25,13
2023-07-20 00:00:00+00:00,14244.25,14244.25,14224.25,14224.25,1
2023-07-21 00:00:00+00:00,14244.25,14294.25,14171.25,14171.25,5
2023-07-24 00:00:00+00:00,14199.25,14199.25,14199.25,14199.25,0
2023-07-25 00:00:00+00:00,14256.0,14360.25,14256.0,14312.25,11
2023-07-26 00:00:00+00:00,14254.5,14288.25,14249.25,14249.25,4
2023-07-27 00:00:00+00:00,14444.0,14494.25,14178.5,14209.25,12
2023-07-28 00:00:00+00:00,14344.25,14494.25,14344.25,14487.25,3
